task_id,repository,group,official_outcome,capture_status,episodes,public_green_verified_episodes,public_test_red,public_test_green,completed_subgoal,terminal_partial_attempt,checkpoint_counts,l2_unique_nodes_referenced,capture_failures,empty_checkpoints,memory_injections,l2_nodes_by_catalog_source_episode,l2_edges_by_source_episode
swebench--astropy__astropy-12318,astropy/astropy,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",12,0,0,0,12,11
swebench--astropy__astropy-13390,astropy/astropy,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",2,0,0,0,2,1
swebench--astropy__astropy-13404,astropy/astropy,new_240,RESOLVED,CAPTURED,5,2,1,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 3}",15,0,0,0,15,12
swebench--astropy__astropy-13477,astropy/astropy,inherited_120,UNRESOLVED,CAPTURED,1,0,0,0,0,1,"{""TERMINAL_ACTIVE"": 1}",4,0,0,0,4,3
swebench--astropy__astropy-13734,astropy/astropy,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,1,1,"{""COMPLETED_SUBGOAL"": 1, ""TERMINAL_ACTIVE"": 1}",26,0,0,0,26,25
swebench--astropy__astropy-13803,astropy/astropy,inherited_120,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",10,0,0,0,10,9
swebench--astropy__astropy-13838,astropy/astropy,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",8,0,0,0,8,7
swebench--astropy__astropy-13933,astropy/astropy,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",6,0,0,0,6,5
swebench--astropy__astropy-14253,astropy/astropy,new_240,UNRESOLVED,CAPTURED,5,2,1,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 3}",21,0,0,0,21,20
swebench--astropy__astropy-14295,astropy/astropy,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",1,0,0,0,1,0
swebench--astropy__astropy-14590,astropy/astropy,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",11,0,0,0,11,10
swebench--astropy__astropy-6938,astropy/astropy,inherited_120,RESOLVED,CAPTURED,6,2,2,2,2,0,"{""COMPLETED_SUBGOAL"": 2, ""PUBLIC_TEST_OBSERVATION"": 4}",18,0,0,0,18,15
swebench--astropy__astropy-7008,astropy/astropy,inherited_120,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",19,0,0,0,19,18
swebench--astropy__astropy-7746,astropy/astropy,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",7,0,0,0,7,6
swebench--django__django-10287,django/django,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",7,0,0,0,7,6
swebench--django__django-10643,django/django,inherited_120,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",13,0,0,0,13,12
swebench--django__django-11085,django/django,inherited_120,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",7,0,0,0,7,6
swebench--django__django-11417,django/django,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",8,0,0,0,8,7
swebench--django__django-11618,django/django,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",10,0,0,0,10,9
swebench--django__django-11680,django/django,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",13,0,0,0,13,12
swebench--django__django-11742,django/django,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",8,0,0,0,8,7
swebench--django__django-11903,django/django,new_240,RESOLVED,CAPTURED,1,0,0,0,1,0,"{""COMPLETED_SUBGOAL"": 1}",17,0,0,0,17,16
swebench--django__django-12009,django/django,new_240,UNDETERMINED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",2,0,0,,2,1
swebench--django__django-12281,django/django,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",10,0,0,0,10,9
swebench--django__django-12343,django/django,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",13,0,0,0,13,12
swebench--django__django-12407,django/django,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",11,0,0,0,11,10
swebench--django__django-12497,django/django,new_240,RESOLVED,CAPTURED,1,0,0,0,1,0,"{""COMPLETED_SUBGOAL"": 1}",7,0,0,0,7,6
swebench--django__django-12532,django/django,new_240,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",8,0,0,0,8,7
swebench--django__django-12830,django/django,new_240,RESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",12,0,0,0,12,11
swebench--django__django-12851,django/django,inherited_120,UNRESOLVED,CAPTURED,2,0,0,0,2,0,"{""COMPLETED_SUBGOAL"": 2}",0,0,0,0,0,0
