phase,cohort,ordinal,task_id,repository,arm,outcome,resolved,last_stage,requests,solver_seconds,grader_seconds,memory_injections,graded_at_kst
DEVELOPMENT,baseline,1,swebench--astropy__astropy-14484,astropy/astropy,BASELINE,UNRESOLVED,False,CLEANED,37,447.49309825897217,46.514,0,2026-09-20T18:53:54.147016+09:00
DEVELOPMENT,baseline,2,swebench--astropy__astropy-7858,astropy/astropy,BASELINE,RESOLVED,True,CLEANED,23,342.0531497001648,23.196,0,2026-09-20T19:04:27.190571+09:00
DEVELOPMENT,baseline,3,swebench--astropy__astropy-11693,astropy/astropy,BASELINE,RESOLVED,True,CLEANED,32,458.76959133148193,57.628,0,2026-09-20T19:17:54.609690+09:00
DEVELOPMENT,baseline,4,swebench--astropy__astropy-14701,astropy/astropy,BASELINE,UNRESOLVED,False,CLEANED,64,801.282496213913,48.336,0,2026-09-20T19:36:26.660447+09:00
DEVELOPMENT,baseline,5,swebench--astropy__astropy-14213,astropy/astropy,BASELINE,RESOLVED,True,CLEANED,42,532.4637184143066,57.148,0,2026-09-20T19:50:39.456401+09:00
DEVELOPMENT,baseline,6,swebench--django__django-14374,django/django,BASELINE,RESOLVED,True,CLEANED,80,942.1222410202026,23.493,0,2026-09-20T20:11:12.390285+09:00
DEVELOPMENT,baseline,7,swebench--django__django-15052,django/django,BASELINE,RESOLVED,True,CLEANED,16,188.20802903175354,23.317,0,2026-09-20T20:19:10.928938+09:00
DEVELOPMENT,baseline,8,swebench--django__django-16588,django/django,BASELINE,RESOLVED,True,CLEANED,18,255.97980523109436,22.938,0,2026-09-20T20:27:56.549686+09:00
DEVELOPMENT,baseline,9,swebench--django__django-11727,django/django,BASELINE,RESOLVED,True,CLEANED,19,255.73371362686157,24.185,0,2026-09-20T20:37:03.901753+09:00
DEVELOPMENT,baseline,10,swebench--django__django-11638,django/django,BASELINE,RESOLVED,True,CLEANED,27,356.5872919559479,23.506,0,2026-09-20T20:47:49.770889+09:00
DEVELOPMENT,baseline,11,swebench--django__django-13250,django/django,BASELINE,RESOLVED,True,CLEANED,56,618.4640460014343,23.568,0,2026-09-20T21:03:05.769139+09:00
DEVELOPMENT,baseline,12,swebench--django__django-12198,django/django,BASELINE,RESOLVED,True,CLEANED,28,352.9537003040314,23.505,0,2026-09-20T21:13:56.433459+09:00
DEVELOPMENT,baseline,13,swebench--django__django-14812,django/django,BASELINE,RESOLVED,True,CLEANED,36,442.7596764564514,23.468,0,2026-09-20T21:26:13.292832+09:00
DEVELOPMENT,baseline,14,swebench--matplotlib__matplotlib-24265,matplotlib/matplotlib,BASELINE,RESOLVED,True,CLEANED,36,519.5111243724823,51.477,0,2026-09-20T21:41:19.824348+09:00
DEVELOPMENT,baseline,15,swebench--matplotlib__matplotlib-22926,matplotlib/matplotlib,BASELINE,RESOLVED,True,CLEANED,27,357.21581292152405,30.789,0,2026-09-20T21:53:54.353327+09:00
DEVELOPMENT,baseline,16,swebench--matplotlib__matplotlib-20374,matplotlib/matplotlib,BASELINE,UNSCORED,,INFRA_ERROR,,,,,
DEVELOPMENT,baseline,17,swebench--matplotlib__matplotlib-25565,matplotlib/matplotlib,BASELINE,NOT_STARTED,,,,,,,
