task_id,difficulty,off_resolved,on_resolved,off_grade_status,on_grade_status,off_seconds,on_seconds,on_memory_injections,delta
abc380_d,medium,True,True,GRADED,GRADED,46.29883122444153,28.99721932411194,0,0
abc386_c,medium,True,True,GRADED,GRADED,39.65556001663208,27.42025375366211,0,0
3653,medium,True,True,GRADED,GRADED,29.681325912475586,27.541030406951904,1,0
3627,medium,True,True,GRADED,GRADED,25.629595279693604,40.28190064430237,1,0
abc382_f,hard,True,True,GRADED,GRADED,80.25482273101807,64.78819537162781,0,0
3637,hard,True,True,GRADED,GRADED,54.297560691833496,54.03474688529968,0,0
abc378_e,hard,True,True,GRADED,GRADED,45.69991612434387,49.623629570007324,0,0
abc384_d,medium,True,True,GRADED,GRADED,50.171541690826416,25.729250192642212,0,0
3648,hard,True,True,GRADED,GRADED,45.11428689956665,44.91040825843811,1,0
abc379_b,easy,True,True,GRADED,GRADED,23.756955862045288,25.74256157875061,0,0
abc381_d,hard,True,True,GRADED,GRADED,33.84824824333191,34.10043716430664,0,0
3636,easy,True,True,GRADED,GRADED,24.232535123825073,25.221951484680176,0,0
abc384_f,hard,True,True,GRADED,GRADED,60.341469049453735,80.31979084014893,0,0
3620,medium,True,True,GRADED,GRADED,21.54436206817627,30.00322151184082,1,0
3631,hard,True,True,GRADED,GRADED,56.90132164955139,35.65783476829529,0,0
abc380_e,hard,True,True,GRADED,GRADED,73.30934476852417,70.6512143611908,0,0
abc381_c,medium,True,True,GRADED,GRADED,44.5157151222229,25.347981214523315,0,0
abc378_b,easy,True,True,GRADED,GRADED,30.27617359161377,37.61493396759033,0,0
abc380_a,easy,True,True,GRADED,GRADED,20.472409963607788,31.026691198349,0,0
3659,medium,True,True,GRADED,GRADED,46.05574989318848,36.01856350898743,1,0
abc379_a,easy,True,True,GRADED,GRADED,21.607564449310303,22.680372714996338,0,0
3651,easy,True,True,GRADED,GRADED,22.15728449821472,23.04275870323181,0,0
3626,easy,True,True,GRADED,GRADED,19.878304481506348,22.18088173866272,0,0
abc378_a,easy,True,True,GRADED,GRADED,23.133413076400757,22.701080799102783,0,0
