task_id,difficulty,off_resolved,on_resolved,off_passed,on_passed,off_outcome,on_outcome,off_grade_status,on_grade_status,off_seconds,on_seconds,on_memory_injections,delta,graded_delta
abc380_d,medium,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,43.365082025527954,106.63520622253418,2,0,0
abc386_c,medium,false,false,null,null,MODEL_PROTOCOL_FAILURE,MODEL_PROTOCOL_FAILURE,GENERATION_ERROR,GENERATION_ERROR,139.70586705207825,66.76485681533813,0,0,null
3653,medium,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,57.55551886558533,26.547503232955933,1,0,0
3627,medium,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,54.55213737487793,32.35886836051941,1,0,0
abc382_f,hard,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,92.21540951728821,93.13758540153503,1,1,null
3637,hard,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,103.82725358009338,52.99208855628967,2,0,0
abc378_e,hard,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,110.78473043441772,48.06136107444763,1,1,null
abc384_d,medium,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,86.56912684440613,31.55501413345337,2,0,0
3648,hard,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,129.44740772247314,38.479954957962036,2,0,0
abc379_b,easy,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,63.05125045776367,39.987531900405884,2,0,0
abc381_d,hard,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,72.18232131004333,31.209848642349243,1,1,null
3636,easy,true,false,true,null,SOLVED,MODEL_PROTOCOL_FAILURE,GRADED,GENERATION_ERROR,102.6909806728363,75.71094727516174,1,-1,null
abc384_f,hard,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,144.02262330055237,42.092344522476196,2,1,null
3620,medium,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,156.76344871520996,42.89987850189209,3,1,null
3631,hard,false,true,false,true,WRONG_SOLUTION,SOLVED,GRADED,GRADED,56.47166132926941,65.53701710700989,2,1,1
abc380_e,hard,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,104.0295524597168,57.515371322631836,1,1,null
abc381_c,medium,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,122.18504786491394,32.7204475402832,2,1,null
abc378_b,easy,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,128.2755947113037,25.443159341812134,1,1,null
abc380_a,easy,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,55.3471736907959,20.792264938354492,1,0,0
3659,medium,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,171.55304050445557,30.320765733718872,2,1,null
abc379_a,easy,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,68.48690962791443,38.69452738761902,2,0,0
3651,easy,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,53.83425545692444,33.597004890441895,1,0,0
3626,easy,false,true,null,true,MODEL_PROTOCOL_FAILURE,SOLVED,GENERATION_ERROR,GRADED,95.25752758979797,48.796619176864624,2,1,null
abc378_a,easy,true,true,true,true,SOLVED,SOLVED,GRADED,GRADED,91.75222730636597,20.214816570281982,1,0,0
