task_id,difficulty,OFF_primary_success,OFF_submission_accepted,OFF_accepted_candidate_correct,OFF_retained_candidate_correct,OFF_retained_candidate_available,OFF_retained_candidate_source,OFF_solve_seconds,OFF_sessions,OFF_public_test_runs,OFF_tool_actions,OFF_memory_injections,OFF_input_tokens,OFF_cached_input_tokens,OFF_output_tokens,ON_primary_success,ON_submission_accepted,ON_accepted_candidate_correct,ON_retained_candidate_correct,ON_retained_candidate_available,ON_retained_candidate_source,ON_solve_seconds,ON_sessions,ON_public_test_runs,ON_tool_actions,ON_memory_injections,ON_input_tokens,ON_cached_input_tokens,ON_output_tokens
abc380_d,medium,True,True,True,True,True,ACCEPTED_SUBMISSION,33.14034342765808,1,1,3,0,60987,42752,1031,True,True,True,True,True,ACCEPTED_SUBMISSION,31.46787190437317,1,1,3,1,65485,33792,973
abc386_c,medium,True,True,True,True,True,ACCEPTED_SUBMISSION,31.12216877937317,1,1,3,0,60930,46848,1089,True,True,True,True,True,ACCEPTED_SUBMISSION,33.203877687454224,1,1,3,0,60401,30464,1150
3653,medium,True,True,True,True,True,ACCEPTED_SUBMISSION,30.46699595451355,1,1,3,0,57955,43776,995,True,True,True,True,True,ACCEPTED_SUBMISSION,28.19778561592102,1,1,3,1,59772,41728,895
3627,medium,True,True,True,True,True,ACCEPTED_SUBMISSION,58.287946939468384,2,1,4,0,109194,74496,1849,True,True,True,True,True,ACCEPTED_SUBMISSION,33.60621166229248,1,1,3,1,64434,44800,1147
abc382_f,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,58.775131702423096,1,1,3,0,80909,59136,2443,False,True,False,False,True,ACCEPTED_SUBMISSION,67.04310965538025,1,2,4,1,118966,80384,2952
3637,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,56.43856739997864,1,2,4,0,81411,45568,2060,True,True,True,True,True,ACCEPTED_SUBMISSION,56.781954765319824,1,2,4,1,88400,67072,2273
abc378_e,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,38.10942840576172,1,1,3,0,61319,40960,1345,True,True,True,True,True,ACCEPTED_SUBMISSION,35.39370083808899,1,1,3,1,65603,36864,1292
abc384_d,medium,True,True,True,True,True,ACCEPTED_SUBMISSION,39.08034873008728,1,1,3,0,82824,65792,1378,True,True,True,True,True,ACCEPTED_SUBMISSION,31.992523670196533,1,1,3,2,69790,51968,1117
3648,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,42.71156430244446,1,1,3,0,67700,49920,1757,True,True,True,True,True,ACCEPTED_SUBMISSION,57.25274181365967,1,1,3,2,88291,68096,2294
abc379_b,easy,True,True,True,True,True,ACCEPTED_SUBMISSION,26.21900200843811,1,1,3,0,55259,39680,740,True,True,True,True,True,ACCEPTED_SUBMISSION,29.498223304748535,1,1,2,0,52950,38656,854
abc381_d,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,34.28864932060242,1,1,3,0,61231,41728,1114,True,True,True,True,True,ACCEPTED_SUBMISSION,32.1275053024292,1,1,3,1,65851,48896,1133
3636,easy,True,True,True,True,True,ACCEPTED_SUBMISSION,22.74312114715576,1,1,3,0,53602,37632,615,True,True,True,True,True,ACCEPTED_SUBMISSION,21.346986770629883,1,1,2,1,43696,23552,495
abc384_f,hard,True,True,True,True,True,ACCEPTED_SUBMISSION,74.30668139457703,1,3,5,0,116050,68864,3123,False,True,False,False,True,ACCEPTED_SUBMISSION,83.84711694717407,1,2,4,2,96743,68096,3276
