task_id,no_memory_control,KEEP_primary_3_repeats,DROP_primary_3_repeats,primary_difference,KEEP_format_3_repeats,DROP_format_3_repeats
abc380_d,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc386_c,True,"[false, false, false]","[false, false, false]",0.0,"[false, false, false]","[false, false, false]"
3653,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3627,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc382_f,False,"[true, true, null]","[false, false, false]",1.0,"[true, true, null]","[false, false, false]"
3637,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc378_e,False,"[true, true, false]","[false, false, false]",0.6666666666666666,"[true, true, false]","[false, false, false]"
abc384_d,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3648,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc379_b,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc381_d,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3636,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc384_f,False,"[true, null, true]","[false, false, false]",1.0,"[true, null, true]","[false, false, false]"
3620,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3631,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc380_e,False,"[false, true, true]","[false, false, false]",0.6666666666666666,"[false, true, true]","[false, false, false]"
abc381_c,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc378_b,False,"[false, false, true]","[false, false, false]",0.3333333333333333,"[false, true, true]","[false, false, false]"
abc380_a,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3659,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc379_a,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3651,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
3626,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
abc378_a,False,"[true, true, true]","[false, false, false]",1.0,"[true, true, true]","[false, false, false]"
