role,repository,instance_id,base_commit,public_issue_created_at,in_training_24,in_training_120
DEVELOPMENT,astropy/astropy,astropy__astropy-14484,09e54670e4a46ed510e32d8206e4853920684952,2023-03-02T18:48:46Z,False,False
DEVELOPMENT,astropy/astropy,astropy__astropy-7858,848c8fa21332abd66b44efe3cb48b72377fb32cc,2018-10-02T10:43:08Z,False,False
DEVELOPMENT,astropy/astropy,astropy__astropy-11693,3832210580d516365ddae1a62071001faf94d416,2021-05-04T10:05:33Z,False,False
DEVELOPMENT,astropy/astropy,astropy__astropy-14701,a429c3984a14c995584455e51a6f3d7d9c16e914,2023-04-27T11:59:59Z,False,False
DEVELOPMENT,astropy/astropy,astropy__astropy-14213,a5ccc9522ca139df7a7cf4e2e506ffd288e55620,2022-12-22T16:37:17Z,False,False
DEVELOPMENT,django/django,django__django-14374,d1f1417caed648db2f81a1ec28c47bf958c01958,2021-05-10T19:52:38Z,False,False
DEVELOPMENT,django/django,django__django-15052,25157033e979c134d455d46995a6db0838457d98,2021-11-03T14:48:01Z,False,False
DEVELOPMENT,django/django,django__django-16588,ad18a0102cc2968914232814c6554763f15abbe3,2023-02-22T11:48:19Z,False,False
DEVELOPMENT,django/django,django__django-11727,44077985f58be02214a11ffde35776fed3c960e1,2019-08-29T14:32:01Z,False,False
DEVELOPMENT,django/django,django__django-11638,c1b26c77a94c13b350d80e9a2f8d0393dee737cd,2019-08-09T08:41:19Z,False,False
DEVELOPMENT,django/django,django__django-13250,bac5777bff8e8d8189193438b5af52f158a3f2a4,2020-07-28T10:26:49Z,False,False
DEVELOPMENT,django/django,django__django-12198,d6505273cd889886caca57884fa79941b18c2ea6,2019-12-09T16:59:47Z,False,False
DEVELOPMENT,django/django,django__django-14812,b8824e8d17434957650517370f739e340867c381,2021-08-30T16:51:46Z,False,False
DEVELOPMENT,matplotlib/matplotlib,matplotlib__matplotlib-24265,e148998d9bed9d1b53a91587ad48f9bb43c7737f,2022-10-25T02:03:19Z,False,False
DEVELOPMENT,matplotlib/matplotlib,matplotlib__matplotlib-22926,e779b97174ff3ab2737fbdffb432ef8689201602,2022-04-28T13:39:16Z,False,False
DEVELOPMENT,matplotlib/matplotlib,matplotlib__matplotlib-20374,d385b2caa8fae238fafd7d2a6ba493703b100b8c,2021-06-06T01:19:36Z,False,False
DEVELOPMENT,matplotlib/matplotlib,matplotlib__matplotlib-25565,7ab47b41b6046c9b237fe96a4c6cfd454e2380c7,2023-03-28T04:16:07Z,False,False
DEVELOPMENT,matplotlib/matplotlib,matplotlib__matplotlib-23031,c3cf938bc02cbbb0d853c54255c4197b6e90ea1e,2022-05-10T15:30:51Z,False,False
DEVELOPMENT,mwaskom/seaborn,mwaskom__seaborn-3010,0f5a013e2cf43562deec3b879458e59a73853813,2022-09-11T19:37:32Z,False,False
DEVELOPMENT,mwaskom/seaborn,mwaskom__seaborn-2846,8bae24f665f3732b66f8edf8d9bfd4a6d0db1906,2022-06-11T16:24:34Z,False,False
DEVELOPMENT,mwaskom/seaborn,mwaskom__seaborn-2853,a674a83cc894b5941a86d4c51ba2e57c632882c1,2022-06-12T14:31:48Z,False,False
DEVELOPMENT,mwaskom/seaborn,mwaskom__seaborn-3407,515286e02be3e4c0ff2ef4addb34a53c4a676ee4,2023-06-27T23:17:29Z,False,False
DEVELOPMENT,pallets/flask,pallets__flask-4642,97298e06fe19298c3ff9d2e0ed9ba70bb3fda2c8,2022-06-15T21:14:32Z,False,False
DEVELOPMENT,pallets/flask,pallets__flask-4992,4c288bc97ea371817199908d0d9b12de9dae327e,2023-02-22T14:00:17Z,False,False
DEVELOPMENT,pallets/flask,pallets__flask-5063,182ce3dd15dfa3537391c3efaf9c3ff407d134d4,2023-04-14T16:36:54Z,False,False
DEVELOPMENT,pallets/flask,pallets__flask-4169,66d9d4fa8d07dd50e4cb3036a9ae5f92c4693b84,2021-06-22T23:57:43Z,False,False
DEVELOPMENT,psf/requests,psf__requests-3362,36453b95b13079296776d11b09cab2567ea3e703,2016-06-24T13:31:31Z,False,False
DEVELOPMENT,psf/requests,psf__requests-2678,276202f51ee9967969eafc1880c4785c80d63d3b,2015-07-18T15:45:52Z,False,False
DEVELOPMENT,psf/requests,psf__requests-1733,a123f8351dc9f7ddfb06c5fafb25fedf6d119ff1,2013-11-09T22:49:23Z,False,False
DEVELOPMENT,psf/requests,psf__requests-4106,2d763c90ae6ccee1a3c64bf70add776a2ba395ef,2017-05-29T21:28:15Z,False,False
DEVELOPMENT,pydata/xarray,pydata__xarray-4827,f98d6f065db2ad1f8911cb22aa04b4e0210ecee4,2021-01-19T22:54:10Z,False,False
DEVELOPMENT,pydata/xarray,pydata__xarray-5187,b2351cbe3f3e92f0e242312dae5791fc83a4467a,2021-04-18T17:00:51Z,False,False
DEVELOPMENT,pydata/xarray,pydata__xarray-5455,e87d65b77711bbf289e14dfa0581fb842247f1c2,2021-06-09T15:22:24Z,False,False
DEVELOPMENT,pydata/xarray,pydata__xarray-4442,9a4313b4b75c181eade5a61f1a2f053b9d1bb293,2020-09-20T20:45:12Z,False,False
DEVELOPMENT,pydata/xarray,pydata__xarray-5682,2705c63e0c03a21d2bbce3a337fac60dd6f6da59,2021-08-07T14:18:16Z,False,False
DEVELOPMENT,pylint-dev/pylint,pylint-dev__pylint-5951,6de7100e4bed8641f898cef160e1874ec788ab96,2022-03-22T08:27:39Z,False,False
DEVELOPMENT,pylint-dev/pylint,pylint-dev__pylint-7228,d597f252915ddcaaa15ccdfcb35670152cb83587,2022-07-25T17:19:11Z,False,False
DEVELOPMENT,pylint-dev/pylint,pylint-dev__pylint-8312,7893fd205809380fcfdcaf4f82ec81968528875a,2023-02-17T18:44:32Z,False,False
DEVELOPMENT,pylint-dev/pylint,pylint-dev__pylint-5175,1daee40d6f1cf3d379396dc272c123d987ad4cdd,2021-10-17T20:08:34Z,False,False
DEVELOPMENT,pytest-dev/pytest,pytest-dev__pytest-7500,358150c30ee77c4b38dd63125d42d071304baf48,2020-07-14T23:09:45Z,False,False
DEVELOPMENT,pytest-dev/pytest,pytest-dev__pytest-9624,bc33ba0be95a1b66038a17329573aaa1666c1a0f,2022-02-06T22:43:15Z,False,False
DEVELOPMENT,pytest-dev/pytest,pytest-dev__pytest-7352,0821c5c81d115c161a081fc048e4cf59521fe17e,2020-06-11T19:54:52Z,False,False
DEVELOPMENT,pytest-dev/pytest,pytest-dev__pytest-7939,65e6e39b76c236999fc53823892c26367a85a8f8,2020-10-25T11:04:34Z,False,False
DEVELOPMENT,pytest-dev/pytest,pytest-dev__pytest-8124,902739cfc3bbc3379e6ef99c8e250de35f52ecde,2020-12-12T15:51:43Z,False,False
DEVELOPMENT,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13618,13981bdce97ab2dd49b6b8707f3f27b5c148b9c0,2019-04-11T11:04:24Z,False,False
DEVELOPMENT,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13960,4a6264db68b28a2e65efdecc459233911c9aee95,2019-05-27T23:17:57Z,False,False
DEVELOPMENT,scikit-learn/scikit-learn,scikit-learn__scikit-learn-26242,b747bacfa1d706bf3c52680566590bfaf0d74363,2023-04-21T12:20:43Z,False,False
DEVELOPMENT,scikit-learn/scikit-learn,scikit-learn__scikit-learn-26318,42d235924efa64987a19e945035c85414c53d4f0,2023-05-02T15:11:07Z,False,False
DEVELOPMENT,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14024,4a6264db68b28a2e65efdecc459233911c9aee95,2019-06-04T15:15:31Z,False,False
DEVELOPMENT,sphinx-doc/sphinx,sphinx-doc__sphinx-8713,3ed7590ed411bd93b26098faab4f23619cdb2267,2021-01-20T14:24:12Z,False,False
DEVELOPMENT,sphinx-doc/sphinx,sphinx-doc__sphinx-11502,71db08c05197545944949d5aa76cd340e7143627,2023-07-23T14:35:44Z,False,False
DEVELOPMENT,sphinx-doc/sphinx,sphinx-doc__sphinx-7597,c13ecd243709d1e210a030be5aa09b7714e35730,2020-05-02T13:44:52Z,False,False
DEVELOPMENT,sphinx-doc/sphinx,sphinx-doc__sphinx-10320,33610201dc7a69859b05381845ae1a11be8f9136,2022-04-02T05:48:38Z,False,False
DEVELOPMENT,sphinx-doc/sphinx,sphinx-doc__sphinx-9467,9a2c3c4a1559e37e95fdee88c128bb116642c897,2021-07-18T04:10:10Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-14104,103c3a8e296387444b954c451c266bd27597adcc,2018-02-07T13:57:50Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-18650,fcefd30cfbc6c929fb50b99403a5764ca019a603,2020-02-13T18:01:04Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-20691,b4c1da60fa4e8201b2b929083df2610da7a5b52f,2020-12-29T08:35:05Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-21849,f57d98d8e54169678e8bba7805f0f71546c11e75,2021-08-10T20:07:44Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-14180,2c0a3a103baa547de12e332382d44ee3733d485f,2018-02-12T16:43:31Z,False,False
DEVELOPMENT,sympy/sympy,sympy__sympy-11796,8e80c0be90728b915942d7953e4b2c5d56deb570,2016-11-02T07:46:32Z,False,False
