role,repository,instance_id,base_commit,public_issue_created_at
EVALUATION,astropy/astropy,astropy__astropy-12907,d16bfe05a744909de4b27f5875fe0d4ed41ce607,2022-03-03T15:14:54Z
EVALUATION,astropy/astropy,astropy__astropy-13033,298ccb478e6bf092953bca67a3d29dc6c35f6752,2022-03-31T23:28:27Z
EVALUATION,astropy/astropy,astropy__astropy-13236,6ed769d58d89380ebaa1ef52b300691eefda8928,2022-05-09T14:16:30Z
EVALUATION,astropy/astropy,astropy__astropy-13398,6500928dc0e57be8f06d1162eacc3ba5e2eff692,2022-06-24T15:22:11Z
EVALUATION,astropy/astropy,astropy__astropy-13453,19cc80471739bcb67b7e8099246b391c355023ee,2022-07-14T10:04:40Z
EVALUATION,astropy/astropy,astropy__astropy-13579,0df94ff7097961e92fd7812036a24b145bc13ca8,2022-08-26T15:06:53Z
EVALUATION,astropy/astropy,astropy__astropy-13977,5250b2442501e6c671c6b380536f1edb352602d1,2022-11-01T22:24:58Z
EVALUATION,astropy/astropy,astropy__astropy-14096,1a4462d72eb03f30dc83a879b1dd57aac8b2c18b,2022-12-04T17:06:07Z
EVALUATION,astropy/astropy,astropy__astropy-14182,a5917978be39d13cd90b517e1de4e7a539ffaa48,2022-12-16T11:13:37Z
EVALUATION,astropy/astropy,astropy__astropy-14309,cdb66059a2feb44ee49021874605ba90801f9986,2023-01-23T22:34:01Z
EVALUATION,astropy/astropy,astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,2023-02-06T19:20:34Z
EVALUATION,astropy/astropy,astropy__astropy-14369,fa4e8d1cd279acf9b24560813c8652494ccd5922,2023-02-06T21:56:51Z
EVALUATION,astropy/astropy,astropy__astropy-14508,a3f4ae6cd24d5ecdf49f213d77b3513dd509a06c,2023-03-09T11:08:51Z
EVALUATION,astropy/astropy,astropy__astropy-14539,c0a24c1dc957a3b565294213f435fefb2ec99714,2023-03-16T18:45:19Z
EVALUATION,astropy/astropy,astropy__astropy-14598,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,2023-03-29T10:34:49Z
EVALUATION,astropy/astropy,astropy__astropy-14995,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,2023-06-27T19:48:18Z
EVALUATION,astropy/astropy,astropy__astropy-7166,26d147868f8a891a6009a25cd6a8576d2e1bd747,2018-02-07T15:05:31Z
EVALUATION,astropy/astropy,astropy__astropy-7336,732d89c2940156bdc0e200bb36dc38b5e424bcba,2018-03-28T15:31:32Z
EVALUATION,astropy/astropy,astropy__astropy-7606,3cedd79e6c121910220f8e6df77c54a0b344ea94,2018-06-29T16:27:46Z
EVALUATION,astropy/astropy,astropy__astropy-7671,a7141cd90019b62688d507ae056298507678c058,2018-07-20T19:37:49Z
EVALUATION,astropy/astropy,astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,2019-05-15T13:21:19Z
EVALUATION,astropy/astropy,astropy__astropy-8872,b750a0e6ee76fb6b8a099a4d16ec51977be46bf6,2019-06-19T20:34:56Z
EVALUATION,django/django,django__django-10097,b9cf764be62e77b4777b3a75ec256f6209a57671,2018-06-26T23:30:51Z
EVALUATION,django/django,django__django-10554,14d026cccb144c6877294ba4cd4e03ebf0842498,2018-10-24T14:24:45Z
EVALUATION,django/django,django__django-10880,838e432e3e5519c5383d12018e6c78f8ec7833c1,2019-01-21T00:22:36Z
EVALUATION,django/django,django__django-10914,e7fd69d051eaa67cb17f172a39b57253e9cb831a,2019-01-30T13:13:20Z
EVALUATION,django/django,django__django-10973,ddb293685235fd09e932805771ae97f72e817181,2019-02-11T01:19:56Z
EVALUATION,django/django,django__django-10999,36300ef336e3f130a0dadc1143163ff3d23dc843,2019-02-16T07:44:50Z
EVALUATION,django/django,django__django-11066,4b45b6c8e4d7c9701a332e80d3b1c84209dc36e2,2019-03-09T13:03:14Z
EVALUATION,django/django,django__django-11087,8180ffba21bf10f4be905cb0d4890dc2bcff2788,2019-03-16T22:59:57Z
EVALUATION,django/django,django__django-11095,7d49ad76562e8c0597a0eb66046ab423b12888d8,2019-03-19T15:17:28Z
EVALUATION,django/django,django__django-11099,d26b2424437dabeeca94d7900b37d2df4410da0c,2019-03-20T03:46:18Z
EVALUATION,django/django,django__django-11119,d4df5e1b0b1c643fe0fc521add0236764ec8e92a,2019-03-24T21:17:05Z
