role,repository,instance_id,base_commit,public_issue_created_at
TRAINING,astropy/astropy,astropy__astropy-6938,c76af9ed6bb89bfba45b9f5bc1e635188278e2fa,2017-12-07T00:01:14Z
TRAINING,astropy/astropy,astropy__astropy-7008,264d967708a3dcdb2bce0ed9f9ca3391c40f3ff3,2017-12-19T20:24:08Z
TRAINING,django/django,django__django-5158,f9de1972685ab5ab31ce483a297d85d3e119088b,2015-08-19T10:02:04Z
TRAINING,django/django,django__django-5470,9dcfecb7c6c8285630ad271888a9ec4ba9140e3a,2015-10-23T19:21:03Z
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-13859,acad890afb1da7d071049d44ec655e0ae5b79e53,2019-04-03T06:40:32Z
TRAINING,matplotlib/matplotlib,matplotlib__matplotlib-13908,dd18211687623c5fa57658990277440814d422f0,2019-04-09T02:29:24Z
TRAINING,mwaskom/seaborn,mwaskom__seaborn-2389,bcdac5411a1b71ff8d4a2fd12a937c129513e79e,2020-12-18T19:35:43Z
TRAINING,mwaskom/seaborn,mwaskom__seaborn-2457,ba086c2096962bbffde2a8eb721b322f382f9e0e,2021-01-30T22:18:52Z
TRAINING,pallets/flask,pallets__flask-4045,d8c37f43724cd9fb0870f77877b7c4c7e38a19e0,2021-05-13T21:32:41Z
TRAINING,pallets/flask,pallets__flask-4074,a541c2ac8b05c2b23e11bd8540088fce1abc2373,2021-05-18T12:40:47Z
TRAINING,psf/requests,psf__requests-774,27b55a74d7b9bd2f8c60fd0ee342bcbbf40e0a66,2012-08-10T16:49:52Z
TRAINING,psf/requests,psf__requests-863,a0df2cbb10419037d11d04352b3175405ab52941,2012-09-20T15:48:00Z
TRAINING,pydata/xarray,pydata__xarray-2922,65a5bff79479c4b56d6f733236fe544b7f4120a8,2019-04-26T17:09:02Z
TRAINING,pydata/xarray,pydata__xarray-3114,b3ba4ba5f9508e4b601d9cf5dbcd9024993adf37,2019-07-13T21:13:45Z
TRAINING,pylint-dev/pylint,pylint-dev__pylint-4175,ae6cbd1062c0a8e68d32a5cdc67c993da26d0f4a,2021-03-02T15:18:14Z
TRAINING,pylint-dev/pylint,pylint-dev__pylint-4330,5e1928b325bc798f5be1ab94031bf6816d058d9f,2021-04-09T14:43:27Z
TRAINING,pytest-dev/pytest,pytest-dev__pytest-5103,10ca84ffc56c2dd2d9dc4bd71b7b898e083500cd,2019-04-13T16:17:45Z
TRAINING,pytest-dev/pytest,pytest-dev__pytest-5205,3a4a815c41badd1a6bac958aa18ddeb0c16cd202,2019-05-03T19:34:15Z
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-3840,6b5440a9964480ccb0fe1b59ab516d9228186571,2014-11-07T23:15:42Z
TRAINING,scikit-learn/scikit-learn,scikit-learn__scikit-learn-7760,074a5216f8e35288045455ccda37f87a19d4cbde,2016-10-26T16:03:36Z
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-7234,0e89979355c6c88adb960a7272c633d5afd34e67,2020-03-01T13:26:01Z
TRAINING,sphinx-doc/sphinx,sphinx-doc__sphinx-7268,a73617c51b9e29d7f059a2794f4574bb80cfcf57,2020-03-07T04:21:04Z
TRAINING,sympy/sympy,sympy__sympy-11232,4c8a8590be682e74ec91ab217c646baa4686a255,2016-06-12T14:14:58Z
TRAINING,sympy/sympy,sympy__sympy-11384,496e776108957d8c049cbef49522cef4c1955e2f,2016-07-11T22:33:27Z
